[router] Current routes
 Name                              Method   Scheme Host Path                                 
 _wdt                              ANY      ANY    ANY  /_wdt/{token}                        
 _profiler_home                    ANY      ANY    ANY  /_profiler/                          
 _profiler_search                  ANY      ANY    ANY  /_profiler/search                    
 _profiler_search_bar              ANY      ANY    ANY  /_profiler/search_bar                
 _profiler_purge                   ANY      ANY    ANY  /_profiler/purge                     
 _profiler_info                    ANY      ANY    ANY  /_profiler/info/{about}              
 _profiler_import                  ANY      ANY    ANY  /_profiler/import                    
 _profiler_export                  ANY      ANY    ANY  /_profiler/export/{token}.txt        
 _profiler_phpinfo                 ANY      ANY    ANY  /_profiler/phpinfo                   
 _profiler_search_results          ANY      ANY    ANY  /_profiler/{token}/search/results    
 _profiler                         ANY      ANY    ANY  /_profiler/{token}                   
 _profiler_router                  ANY      ANY    ANY  /_profiler/{token}/router            
 _profiler_exception               ANY      ANY    ANY  /_profiler/{token}/exception         
 _profiler_exception_css           ANY      ANY    ANY  /_profiler/{token}/exception.css     
 _configurator_home                ANY      ANY    ANY  /_configurator/                      
 _configurator_step                ANY      ANY    ANY  /_configurator/step/{index}          
 _configurator_final               ANY      ANY    ANY  /_configurator/final                 
 moocline_cours_creation           ANY      ANY    ANY  /cours/creation                      
 moocline_cours_vue                ANY      ANY    ANY  /cours/vuecours/{id}                 
 moocline_cours_inscription        ANY      ANY    ANY  /cours/inscription/{id}              
 moocline_cours_vueEtu             ANY      ANY    ANY  /cours/vuecoursEtu/{id}              
 moocline_cours_chapitre           ANY      ANY    ANY  /cours/chapitre/creation             
 moocline_chapitre_vue             ANY      ANY    ANY  /cours/vuechapitre/{id}              
 moocline_chapitre_edition         ANY      ANY    ANY  /cours/chapitre/edition/{id}         
 moocline_cours_edition            ANY      ANY    ANY  /cours/edition/{id}                  
 moocline_cours_list               ANY      ANY    ANY  /cours/list/{page}                   
 home                              ANY      ANY    ANY  /                                    
 admin_send_invitation             ANY      ANY    ANY  /admin/send-invitation/{email}       
 inscription_Enseignant            ANY      ANY    ANY  /inscription-enseignant              
 inscription_Etudiant              ANY      ANY    ANY  /inscription-etudiant                
 modification_Etudiant             ANY      ANY    ANY  /modificationEtudiant/{id}           
 modification_Enseignant           ANY      ANY    ANY  /modificationEnseignant/{id}         
 vue_Etudiant                      GET      ANY    ANY  /vueEtudiant/{id}                    
 vue_Enseignant                    ANY      ANY    ANY  /vueEnseignant/{id}                  
 dashboard_Etudiant                ANY      ANY    ANY  /dashboard/{id}                      
 dashboard_Etudiant_listCours      ANY      ANY    ANY  /dashboardEtudiantListCours/{id}     
 dashboard_Etudiant_radierCours    ANY      ANY    ANY  /dashboardEtudiantRadierCours/{id}   
 dashboard_Etudiant_platformCours  ANY      ANY    ANY  /dashboardEtudiantPlatformCours/{id} 
 dashboard_Enseignant              ANY      ANY    ANY  /dashboardEnseignant/{id}            
 contact_particulier               ANY      ANY    ANY  /contact                             
 contact_ecole_partenaire          ANY      ANY    ANY  /ecole-partenaire                    
 qui_sommes_nous                   ANY      ANY    ANY  /qui-sommes-nous                     
 moocline_exo_homepage             ANY      ANY    ANY  /exo/hello                           
 moocline_exo_import               ANY      ANY    ANY  /exo/importxml                       
 moocline_FEx_create               ANY      ANY    ANY  /exo/createFEx                       
 moocline_exo_create               ANY      ANY    ANY  /exo/createExo                       
 moocline_exo_createExercice       ANY      ANY    ANY  /exo/createExo/{type}                
 moocline_exo_apercu               ANY      ANY    ANY  /exo/createExo/{type}/apercu         
 moocline_exo_chooseFEx            ANY      ANY    ANY  /exo/createExo/{type}/FEx            
 moocline_exo_importExercice       ANY      ANY    ANY  /exo/importExo                       
 moocline_exo_validImportExercice  ANY      ANY    ANY  /exo/validImportExo                  
 moocline_exo_resolveFEx           ANY      ANY    ANY  /exo/resolveFEx/{id}                 
 moocline_exo_resolveLibre         ANY      ANY    ANY  /exo/resolveExoLibre                 
 fos_user_security_login           ANY      ANY    ANY  /login                               
 fos_user_security_check           POST     ANY    ANY  /login_check                         
 fos_user_security_logout          ANY      ANY    ANY  /logout                              
 fos_user_profile_show             GET      ANY    ANY  /profile/                            
 fos_user_profile_edit             ANY      ANY    ANY  /profile/edit                        
 fos_user_registration_register    ANY      ANY    ANY  /register/                           
 fos_user_registration_check_email GET      ANY    ANY  /register/check-email                
 fos_user_registration_confirm     GET      ANY    ANY  /register/confirm/{token}            
 fos_user_registration_confirmed   GET      ANY    ANY  /register/confirmed                  
 fos_user_resetting_request        GET      ANY    ANY  /resetting/request                   
 fos_user_resetting_send_email     POST     ANY    ANY  /resetting/send-email                
 fos_user_resetting_check_email    GET      ANY    ANY  /resetting/check-email               
 fos_user_resetting_reset          GET|POST ANY    ANY  /resetting/reset/{token}             
 fos_user_change_password          GET|POST ANY    ANY  /profile/change-password             
